film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,\N,6,0.99,86,20.99,PG,"[""Deleted Scenes"",""Behind the Scenes""]",2006-02-15 05:03:42
2,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,1,\N,3,4.99,48,12.99,G,"[""Trailers"",""Deleted Scenes""]",2006-02-15 05:03:42
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,\N,7,2.99,50,18.99,NC-17,"[""Trailers"",""Deleted Scenes""]",2006-02-15 05:03:42
4,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,1,\N,5,2.99,117,26.99,G,"[""Commentaries"",""Behind the Scenes""]",2006-02-15 05:03:42
5,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,1,\N,6,2.99,130,22.99,G,"[""Deleted Scenes""]",2006-02-15 05:03:42
6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,1,\N,3,2.99,169,17.99,PG,"[""Deleted Scenes""]",2006-02-15 05:03:42
7,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,1,\N,6,4.99,62,28.99,PG-13,"[""Trailers"",""Deleted Scenes""]",2006-02-15 05:03:42
8,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,1,\N,6,4.99,54,15.99,R,"[""Trailers""]",2006-02-15 05:03:42
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,\N,3,2.99,114,21.99,PG-13,"[""Trailers"",""Deleted Scenes""]",2006-02-15 05:03:42
10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,1,\N,6,4.99,63,24.99,NC-17,"[""Trailers"",""Deleted Scenes""]",2006-02-15 05:03:42
